tau=0.25
t=0 	x=0.1 	r_E=0.1 	Err=0
t=98.5 	r=5.60089 	r_E=5.60031 	Err=0.0105868
t=98.75 	r=5.60799 	r_E=5.60741 	Err=0.0105868
t=99 	r=5.61508 	r_E=5.61451 	Err=0.0105868
t=99.25 	r=5.62216 	r_E=5.62159 	Err=0.0105868
t=99.5 	r=5.62924 	r_E=5.62866 	Err=0.0105868
t=99.75 	r=5.6363 	r_E=5.63573 	Err=0.0105868
t=100 	r=5.64336 	r_E=5.64278 	Err=0.0105868
t=100.25 	r=5.6504 	r_E=5.64983 	Err=0.0105868
t=100.5 	r=5.65744 	r_E=5.65687 	Err=0.0105868
t=100.75 	r=5.66447 	r_E=5.6639 	Err=0.0105868
t=101 	r=5.67149 	r_E=5.67092 	Err=0.0105868
t=101.25 	r=5.6785 	r_E=5.67793 	Err=0.0105868
t=101.5 	r=5.6855 	r_E=5.68493 	Err=0.0105868
t=101.75 	r=5.6925 	r_E=5.69193 	Err=0.0105868
t=102 	r=5.69948 	r_E=5.69891 	Err=0.0105868
t=102.25 	r=5.70646 	r_E=5.70589 	Err=0.0105868
t=102.5 	r=5.71343 	r_E=5.71286 	Err=0.0105868
t=102.75 	r=5.72039 	r_E=5.71982 	Err=0.0105868
t=103 	r=5.72734 	r_E=5.72677 	Err=0.0105868
