tau=0.5
t=0 	r=1 	x_E=1 	Err=0
t=191 	r=7.87166 	r_E=7.86112 	Err=0.0149418
t=191.5 	r=7.88177 	r_E=7.87124 	Err=0.0149418
t=192 	r=7.89186 	r_E=7.88134 	Err=0.0149418
t=192.5 	r=7.90195 	r_E=7.89143 	Err=0.0149418
t=193 	r=7.91202 	r_E=7.90151 	Err=0.0149418
t=193.5 	r=7.92208 	r_E=7.91157 	Err=0.0149418
t=194 	r=7.93212 	r_E=7.92162 	Err=0.0149418
t=194.5 	r=7.94215 	r_E=7.93166 	Err=0.0149418
t=195 	r=7.95217 	r_E=7.94169 	Err=0.0149418
t=195.5 	r=7.96218 	r_E=7.9517 	Err=0.0149418
t=196 	r=7.97217 	r_E=7.9617 	Err=0.0149418
t=196.5 	r=7.98216 	r_E=7.97169 	Err=0.0149418
t=197 	r=7.99212 	r_E=7.98167 	Err=0.0149418
t=197.5 	r=8.00208 	r_E=7.99163 	Err=0.0149418
t=198 	r=8.01203 	r_E=8.00158 	Err=0.0149418
t=198.5 	r=8.02196 	r_E=8.01152 	Err=0.0149418
t=199 	r=8.03188 	r_E=8.02145 	Err=0.0149418
t=199.5 	r=8.04179 	r_E=8.03136 	Err=0.0149418
t=200 	r=8.05168 	r_E=8.04127 	Err=0.0149418
t=200.5 	r=8.06157 	r_E=8.05116 	Err=0.0149418
t=201 	r=8.07144 	r_E=8.06104 	Err=0.0149418
t=201.5 	r=8.0813 	r_E=8.0709 	Err=0.0149418
t=202 	r=8.09114 	r_E=8.08075 	Err=0.0149418
t=202.5 	r=8.10098 	r_E=8.0906 	Err=0.0149418
t=203 	r=8.1108 	r_E=8.10043 	Err=0.0149418
t=203.5 	r=8.12061 	r_E=8.11024 	Err=0.0149418
t=204 	r=8.13041 	r_E=8.12005 	Err=0.0149418
t=204.5 	r=8.1402 	r_E=8.12984 	Err=0.0149418
t=205 	r=8.14998 	r_E=8.13963 	Err=0.0149418
t=205.5 	r=8.15974 	r_E=8.1494 	Err=0.0149418
t=206 	r=8.16949 	r_E=8.15916 	Err=0.0149418
t=206.5 	r=8.17923 	r_E=8.1689 	Err=0.0149418
t=207 	r=8.18896 	r_E=8.17864 	Err=0.0149418
t=207.5 	r=8.19868 	r_E=8.18836 	Err=0.0149418
t=208 	r=8.20839 	r_E=8.19808 	Err=0.0149418
t=208.5 	r=8.21808 	r_E=8.20778 	Err=0.0149418
t=209 	r=8.22776 	r_E=8.21747 	Err=0.0149418
t=209.5 	r=8.23744 	r_E=8.22715 	Err=0.0149418
